product,price,link
ASUS GeForce RTX 4090 TUF Gaming OC 24GB DLSS 3,9 990 zł,https://www.komputronik.pl/product/788178/asus-geforce-rtx-4090-tuf-gaming-oc-24gb.html
ASUS GeForce RTX 3060 Ti DUAL 8GB OC WHITE GDDR6X,2 599 zł,https://www.komputronik.pl/product/799053/asus-geforce-rtx-3060-ti-dual-8gb-oc-white-gddr6x.html
PowerColor Radeon RX 6600 Fighter 8GB,1 299 zł,https://www.komputronik.pl/product/806521/powercolor-radeon-rx-6600-fighter-8gb.html
ASUS Radeon RX 6650 XT DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/756109/asus-radeon-rx-6650-xt-dual-8gb-oc.html
ASUS GeForce RTX 3060 DUAL 12GB OC V2,1 859 zł,https://www.komputronik.pl/product/725697/asus-geforce-rtx-3060-dual-12gb-oc-v2.html
ASUS GeForce RTX 3070 DUAL 8GB OC V2 LHR,2 849 zł,https://www.komputronik.pl/product/728791/asus-geforce-rtx-3070-dual-8gb-oc-v2-lhr.html
Gigabyte GeForce RTX 3060 EAGLE 12GB OC 2.0 LHR,1 899 zł,https://www.komputronik.pl/product/726296/gigabyte-geforce-rtx-3060-eagle-12gb-oc-2-0-lhr.html
ASUS GeForce RTX 3060 TUF 12GB OC V2 LHR,1 999 zł,https://www.komputronik.pl/product/725989/asus-geforce-rtx-3060-tuf-12gb-oc-v2-lhr.html
ASUS GeForce RTX 3060 DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/799054/asus-geforce-rtx-3060-dual-8gb-oc.html
ASUS GeForce RTX 3060 Ti TUF Gaming 8GB OC Edition,2 449 zł,https://www.komputronik.pl/product/797158/asus-geforce-rtx-3060-ti-tuf-gaming-8gb-oc-edition.html
ASUS GeForce GTX 1650 TUF GAMING 4GB GDDR6 OC V2,929 zł,https://www.komputronik.pl/product/799962/asus-geforce-gtx-1650-tuf-gaming-4gb-gddr6-oc-v2.html
Gigabyte GeForce RTX 3070 Gaming 8GB OC 2.0 LHR,2 849 zł,https://www.komputronik.pl/product/732664/gigabyte-geforce-rtx-3070-gaming-8gb-oc-2-0-lhr.html
Gigabyte GeForce RTX 3060 Gaming 12GB OC 2.0 LHR,2 049 zł,https://www.komputronik.pl/product/726297/gigabyte-geforce-rtx-3060-gaming-12gb-oc-2-0-lhr.html
Sapphire Radeon RX 6800 Pulse Gaming OC 16GB GDDR6,2 999 zł,https://www.komputronik.pl/product/810999/sapphire-radeon-rx-6800-pulse-gaming-oc-16gb-gddr6.html
Intel ARC A750 8GB Limited Edition,1 329 zł,https://www.komputronik.pl/product/790272/intel-arc-a750-8gb.html
Gigabyte GeForce RTX 3070 Ti Gaming 8GB OC,3 549 zł,https://www.komputronik.pl/product/726008/gigabyte-geforce-rtx-3070-ti-gaming-8gb-oc.html
ASUS Radeon RX 6700 XT DUAL 12GB,2 249 zł,https://www.komputronik.pl/product/718541/asus-radeon-rx-6700-xt-dual-12gb.html
Gigabyte GeForce RTX 3060 Ti GAMING 8GB OC GDDR6X,2 549 zł,https://www.komputronik.pl/product/803868/gigabyte-geforce-rtx-3060-ti-gaming-8gb-oc-gddr6x.html
MSI GeForce RTX 3060 GAMING X 12GB LHR,2 149 zł,https://www.komputronik.pl/product/714907/msi-geforce-rtx-3060-gaming-x-12gb-lhr.html
Gigabyte GeForce RTX 3060 Ti EAGLE 8GB OC LHR,2 399 zł,https://www.komputronik.pl/product/727241/gigabyte-geforce-rtx-3060-ti-eagle-8gb-oc-lhr.html
ASUS GeForce RTX 4090 TUF Gaming OC 24GB DLSS 3,9 990 zł,https://www.komputronik.pl/product/788178/asus-geforce-rtx-4090-tuf-gaming-oc-24gb.html
ASUS GeForce RTX 3060 Ti DUAL 8GB OC WHITE GDDR6X,2 599 zł,https://www.komputronik.pl/product/799053/asus-geforce-rtx-3060-ti-dual-8gb-oc-white-gddr6x.html
PowerColor Radeon RX 6600 Fighter 8GB,1 299 zł,https://www.komputronik.pl/product/806521/powercolor-radeon-rx-6600-fighter-8gb.html
ASUS Radeon RX 6650 XT DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/756109/asus-radeon-rx-6650-xt-dual-8gb-oc.html
ASUS GeForce RTX 3060 DUAL 12GB OC V2,1 859 zł,https://www.komputronik.pl/product/725697/asus-geforce-rtx-3060-dual-12gb-oc-v2.html
ASUS GeForce RTX 3070 DUAL 8GB OC V2 LHR,2 849 zł,https://www.komputronik.pl/product/728791/asus-geforce-rtx-3070-dual-8gb-oc-v2-lhr.html
Gigabyte GeForce RTX 3060 EAGLE 12GB OC 2.0 LHR,1 899 zł,https://www.komputronik.pl/product/726296/gigabyte-geforce-rtx-3060-eagle-12gb-oc-2-0-lhr.html
ASUS GeForce RTX 3060 TUF 12GB OC V2 LHR,1 999 zł,https://www.komputronik.pl/product/725989/asus-geforce-rtx-3060-tuf-12gb-oc-v2-lhr.html
ASUS GeForce RTX 3060 DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/799054/asus-geforce-rtx-3060-dual-8gb-oc.html
ASUS GeForce RTX 3060 Ti TUF Gaming 8GB OC Edition,2 449 zł,https://www.komputronik.pl/product/797158/asus-geforce-rtx-3060-ti-tuf-gaming-8gb-oc-edition.html
ASUS GeForce GTX 1650 TUF GAMING 4GB GDDR6 OC V2,929 zł,https://www.komputronik.pl/product/799962/asus-geforce-gtx-1650-tuf-gaming-4gb-gddr6-oc-v2.html
Gigabyte GeForce RTX 3070 Gaming 8GB OC 2.0 LHR,2 849 zł,https://www.komputronik.pl/product/732664/gigabyte-geforce-rtx-3070-gaming-8gb-oc-2-0-lhr.html
Gigabyte GeForce RTX 3060 Gaming 12GB OC 2.0 LHR,2 049 zł,https://www.komputronik.pl/product/726297/gigabyte-geforce-rtx-3060-gaming-12gb-oc-2-0-lhr.html
Sapphire Radeon RX 6800 Pulse Gaming OC 16GB GDDR6,2 999 zł,https://www.komputronik.pl/product/810999/sapphire-radeon-rx-6800-pulse-gaming-oc-16gb-gddr6.html
Intel ARC A750 8GB Limited Edition,1 329 zł,https://www.komputronik.pl/product/790272/intel-arc-a750-8gb.html
Gigabyte GeForce RTX 3070 Ti Gaming 8GB OC,3 549 zł,https://www.komputronik.pl/product/726008/gigabyte-geforce-rtx-3070-ti-gaming-8gb-oc.html
ASUS Radeon RX 6700 XT DUAL 12GB,2 249 zł,https://www.komputronik.pl/product/718541/asus-radeon-rx-6700-xt-dual-12gb.html
Gigabyte GeForce RTX 3060 Ti GAMING 8GB OC GDDR6X,2 549 zł,https://www.komputronik.pl/product/803868/gigabyte-geforce-rtx-3060-ti-gaming-8gb-oc-gddr6x.html
MSI GeForce RTX 3060 GAMING X 12GB LHR,2 149 zł,https://www.komputronik.pl/product/714907/msi-geforce-rtx-3060-gaming-x-12gb-lhr.html
Gigabyte GeForce RTX 3060 Ti EAGLE 8GB OC LHR,2 399 zł,https://www.komputronik.pl/product/727241/gigabyte-geforce-rtx-3060-ti-eagle-8gb-oc-lhr.html
ASUS GeForce RTX 4090 TUF Gaming OC 24GB DLSS 3,9 990 zł,https://www.komputronik.pl/product/788178/asus-geforce-rtx-4090-tuf-gaming-oc-24gb.html
ASUS GeForce RTX 3060 Ti DUAL 8GB OC WHITE GDDR6X,2 599 zł,https://www.komputronik.pl/product/799053/asus-geforce-rtx-3060-ti-dual-8gb-oc-white-gddr6x.html
PowerColor Radeon RX 6600 Fighter 8GB,1 299 zł,https://www.komputronik.pl/product/806521/powercolor-radeon-rx-6600-fighter-8gb.html
ASUS Radeon RX 6650 XT DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/756109/asus-radeon-rx-6650-xt-dual-8gb-oc.html
ASUS GeForce RTX 3060 DUAL 12GB OC V2,1 859 zł,https://www.komputronik.pl/product/725697/asus-geforce-rtx-3060-dual-12gb-oc-v2.html
ASUS GeForce RTX 3070 DUAL 8GB OC V2 LHR,2 849 zł,https://www.komputronik.pl/product/728791/asus-geforce-rtx-3070-dual-8gb-oc-v2-lhr.html
Gigabyte GeForce RTX 3060 EAGLE 12GB OC 2.0 LHR,1 899 zł,https://www.komputronik.pl/product/726296/gigabyte-geforce-rtx-3060-eagle-12gb-oc-2-0-lhr.html
ASUS GeForce RTX 3060 TUF 12GB OC V2 LHR,1 999 zł,https://www.komputronik.pl/product/725989/asus-geforce-rtx-3060-tuf-12gb-oc-v2-lhr.html
ASUS GeForce RTX 3060 DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/799054/asus-geforce-rtx-3060-dual-8gb-oc.html
ASUS GeForce RTX 3060 Ti TUF Gaming 8GB OC Edition,2 449 zł,https://www.komputronik.pl/product/797158/asus-geforce-rtx-3060-ti-tuf-gaming-8gb-oc-edition.html
ASUS GeForce GTX 1650 TUF GAMING 4GB GDDR6 OC V2,929 zł,https://www.komputronik.pl/product/799962/asus-geforce-gtx-1650-tuf-gaming-4gb-gddr6-oc-v2.html
Gigabyte GeForce RTX 3070 Gaming 8GB OC 2.0 LHR,2 849 zł,https://www.komputronik.pl/product/732664/gigabyte-geforce-rtx-3070-gaming-8gb-oc-2-0-lhr.html
Gigabyte GeForce RTX 3060 Gaming 12GB OC 2.0 LHR,2 049 zł,https://www.komputronik.pl/product/726297/gigabyte-geforce-rtx-3060-gaming-12gb-oc-2-0-lhr.html
Sapphire Radeon RX 6800 Pulse Gaming OC 16GB GDDR6,2 999 zł,https://www.komputronik.pl/product/810999/sapphire-radeon-rx-6800-pulse-gaming-oc-16gb-gddr6.html
Intel ARC A750 8GB Limited Edition,1 329 zł,https://www.komputronik.pl/product/790272/intel-arc-a750-8gb.html
Gigabyte GeForce RTX 3070 Ti Gaming 8GB OC,3 549 zł,https://www.komputronik.pl/product/726008/gigabyte-geforce-rtx-3070-ti-gaming-8gb-oc.html
ASUS Radeon RX 6700 XT DUAL 12GB,2 249 zł,https://www.komputronik.pl/product/718541/asus-radeon-rx-6700-xt-dual-12gb.html
Gigabyte GeForce RTX 3060 Ti GAMING 8GB OC GDDR6X,2 549 zł,https://www.komputronik.pl/product/803868/gigabyte-geforce-rtx-3060-ti-gaming-8gb-oc-gddr6x.html
MSI GeForce RTX 3060 GAMING X 12GB LHR,2 149 zł,https://www.komputronik.pl/product/714907/msi-geforce-rtx-3060-gaming-x-12gb-lhr.html
Gigabyte GeForce RTX 3060 Ti EAGLE 8GB OC LHR,2 399 zł,https://www.komputronik.pl/product/727241/gigabyte-geforce-rtx-3060-ti-eagle-8gb-oc-lhr.html
ASUS GeForce RTX 4090 TUF Gaming OC 24GB DLSS 3,9 990 zł,https://www.komputronik.pl/product/788178/asus-geforce-rtx-4090-tuf-gaming-oc-24gb.html
ASUS GeForce RTX 3060 Ti DUAL 8GB OC WHITE GDDR6X,2 599 zł,https://www.komputronik.pl/product/799053/asus-geforce-rtx-3060-ti-dual-8gb-oc-white-gddr6x.html
PowerColor Radeon RX 6600 Fighter 8GB,1 299 zł,https://www.komputronik.pl/product/806521/powercolor-radeon-rx-6600-fighter-8gb.html
ASUS Radeon RX 6650 XT DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/756109/asus-radeon-rx-6650-xt-dual-8gb-oc.html
ASUS GeForce RTX 3060 DUAL 12GB OC V2,1 859 zł,https://www.komputronik.pl/product/725697/asus-geforce-rtx-3060-dual-12gb-oc-v2.html
ASUS GeForce RTX 3070 DUAL 8GB OC V2 LHR,2 849 zł,https://www.komputronik.pl/product/728791/asus-geforce-rtx-3070-dual-8gb-oc-v2-lhr.html
Gigabyte GeForce RTX 3060 EAGLE 12GB OC 2.0 LHR,1 899 zł,https://www.komputronik.pl/product/726296/gigabyte-geforce-rtx-3060-eagle-12gb-oc-2-0-lhr.html
ASUS GeForce RTX 3060 TUF 12GB OC V2 LHR,1 999 zł,https://www.komputronik.pl/product/725989/asus-geforce-rtx-3060-tuf-12gb-oc-v2-lhr.html
ASUS GeForce RTX 3060 DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/799054/asus-geforce-rtx-3060-dual-8gb-oc.html
ASUS GeForce RTX 3060 Ti TUF Gaming 8GB OC Edition,2 449 zł,https://www.komputronik.pl/product/797158/asus-geforce-rtx-3060-ti-tuf-gaming-8gb-oc-edition.html
ASUS GeForce GTX 1650 TUF GAMING 4GB GDDR6 OC V2,929 zł,https://www.komputronik.pl/product/799962/asus-geforce-gtx-1650-tuf-gaming-4gb-gddr6-oc-v2.html
Gigabyte GeForce RTX 3070 Gaming 8GB OC 2.0 LHR,2 849 zł,https://www.komputronik.pl/product/732664/gigabyte-geforce-rtx-3070-gaming-8gb-oc-2-0-lhr.html
Gigabyte GeForce RTX 3060 Gaming 12GB OC 2.0 LHR,2 049 zł,https://www.komputronik.pl/product/726297/gigabyte-geforce-rtx-3060-gaming-12gb-oc-2-0-lhr.html
Sapphire Radeon RX 6800 Pulse Gaming OC 16GB GDDR6,2 999 zł,https://www.komputronik.pl/product/810999/sapphire-radeon-rx-6800-pulse-gaming-oc-16gb-gddr6.html
Intel ARC A750 8GB Limited Edition,1 329 zł,https://www.komputronik.pl/product/790272/intel-arc-a750-8gb.html
Gigabyte GeForce RTX 3070 Ti Gaming 8GB OC,3 549 zł,https://www.komputronik.pl/product/726008/gigabyte-geforce-rtx-3070-ti-gaming-8gb-oc.html
ASUS Radeon RX 6700 XT DUAL 12GB,2 249 zł,https://www.komputronik.pl/product/718541/asus-radeon-rx-6700-xt-dual-12gb.html
Gigabyte GeForce RTX 3060 Ti GAMING 8GB OC GDDR6X,2 549 zł,https://www.komputronik.pl/product/803868/gigabyte-geforce-rtx-3060-ti-gaming-8gb-oc-gddr6x.html
MSI GeForce RTX 3060 GAMING X 12GB LHR,2 149 zł,https://www.komputronik.pl/product/714907/msi-geforce-rtx-3060-gaming-x-12gb-lhr.html
Gigabyte GeForce RTX 3060 Ti EAGLE 8GB OC LHR,2 399 zł,https://www.komputronik.pl/product/727241/gigabyte-geforce-rtx-3060-ti-eagle-8gb-oc-lhr.html
ASUS GeForce RTX 4090 TUF Gaming OC 24GB DLSS 3,9 990 zł,https://www.komputronik.pl/product/788178/asus-geforce-rtx-4090-tuf-gaming-oc-24gb.html
ASUS GeForce RTX 3060 Ti DUAL 8GB OC WHITE GDDR6X,2 599 zł,https://www.komputronik.pl/product/799053/asus-geforce-rtx-3060-ti-dual-8gb-oc-white-gddr6x.html
PowerColor Radeon RX 6600 Fighter 8GB,1 299 zł,https://www.komputronik.pl/product/806521/powercolor-radeon-rx-6600-fighter-8gb.html
ASUS Radeon RX 6650 XT DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/756109/asus-radeon-rx-6650-xt-dual-8gb-oc.html
ASUS GeForce RTX 3060 DUAL 12GB OC V2,1 859 zł,https://www.komputronik.pl/product/725697/asus-geforce-rtx-3060-dual-12gb-oc-v2.html
ASUS GeForce RTX 3070 DUAL 8GB OC V2 LHR,2 849 zł,https://www.komputronik.pl/product/728791/asus-geforce-rtx-3070-dual-8gb-oc-v2-lhr.html
Gigabyte GeForce RTX 3060 EAGLE 12GB OC 2.0 LHR,1 899 zł,https://www.komputronik.pl/product/726296/gigabyte-geforce-rtx-3060-eagle-12gb-oc-2-0-lhr.html
ASUS GeForce RTX 3060 TUF 12GB OC V2 LHR,1 999 zł,https://www.komputronik.pl/product/725989/asus-geforce-rtx-3060-tuf-12gb-oc-v2-lhr.html
ASUS GeForce RTX 3060 DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/799054/asus-geforce-rtx-3060-dual-8gb-oc.html
ASUS GeForce RTX 3060 Ti TUF Gaming 8GB OC Edition,2 449 zł,https://www.komputronik.pl/product/797158/asus-geforce-rtx-3060-ti-tuf-gaming-8gb-oc-edition.html
ASUS GeForce GTX 1650 TUF GAMING 4GB GDDR6 OC V2,929 zł,https://www.komputronik.pl/product/799962/asus-geforce-gtx-1650-tuf-gaming-4gb-gddr6-oc-v2.html
Gigabyte GeForce RTX 3070 Gaming 8GB OC 2.0 LHR,2 849 zł,https://www.komputronik.pl/product/732664/gigabyte-geforce-rtx-3070-gaming-8gb-oc-2-0-lhr.html
Gigabyte GeForce RTX 3060 Gaming 12GB OC 2.0 LHR,2 049 zł,https://www.komputronik.pl/product/726297/gigabyte-geforce-rtx-3060-gaming-12gb-oc-2-0-lhr.html
Sapphire Radeon RX 6800 Pulse Gaming OC 16GB GDDR6,2 999 zł,https://www.komputronik.pl/product/810999/sapphire-radeon-rx-6800-pulse-gaming-oc-16gb-gddr6.html
Intel ARC A750 8GB Limited Edition,1 329 zł,https://www.komputronik.pl/product/790272/intel-arc-a750-8gb.html
Gigabyte GeForce RTX 3070 Ti Gaming 8GB OC,3 549 zł,https://www.komputronik.pl/product/726008/gigabyte-geforce-rtx-3070-ti-gaming-8gb-oc.html
ASUS Radeon RX 6700 XT DUAL 12GB,2 249 zł,https://www.komputronik.pl/product/718541/asus-radeon-rx-6700-xt-dual-12gb.html
Gigabyte GeForce RTX 3060 Ti GAMING 8GB OC GDDR6X,2 549 zł,https://www.komputronik.pl/product/803868/gigabyte-geforce-rtx-3060-ti-gaming-8gb-oc-gddr6x.html
MSI GeForce RTX 3060 GAMING X 12GB LHR,2 149 zł,https://www.komputronik.pl/product/714907/msi-geforce-rtx-3060-gaming-x-12gb-lhr.html
Gigabyte GeForce RTX 3060 Ti EAGLE 8GB OC LHR,2 399 zł,https://www.komputronik.pl/product/727241/gigabyte-geforce-rtx-3060-ti-eagle-8gb-oc-lhr.html
ASUS GeForce RTX 4090 TUF Gaming OC 24GB DLSS 3,9 990 zł,https://www.komputronik.pl/product/788178/asus-geforce-rtx-4090-tuf-gaming-oc-24gb.html
ASUS GeForce RTX 3060 Ti DUAL 8GB OC WHITE GDDR6X,2 599 zł,https://www.komputronik.pl/product/799053/asus-geforce-rtx-3060-ti-dual-8gb-oc-white-gddr6x.html
PowerColor Radeon RX 6600 Fighter 8GB,1 299 zł,https://www.komputronik.pl/product/806521/powercolor-radeon-rx-6600-fighter-8gb.html
ASUS Radeon RX 6650 XT DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/756109/asus-radeon-rx-6650-xt-dual-8gb-oc.html
ASUS GeForce RTX 3060 DUAL 12GB OC V2,1 859 zł,https://www.komputronik.pl/product/725697/asus-geforce-rtx-3060-dual-12gb-oc-v2.html
ASUS GeForce RTX 3070 DUAL 8GB OC V2 LHR,2 849 zł,https://www.komputronik.pl/product/728791/asus-geforce-rtx-3070-dual-8gb-oc-v2-lhr.html
Gigabyte GeForce RTX 3060 EAGLE 12GB OC 2.0 LHR,1 899 zł,https://www.komputronik.pl/product/726296/gigabyte-geforce-rtx-3060-eagle-12gb-oc-2-0-lhr.html
ASUS GeForce RTX 3060 TUF 12GB OC V2 LHR,1 999 zł,https://www.komputronik.pl/product/725989/asus-geforce-rtx-3060-tuf-12gb-oc-v2-lhr.html
ASUS GeForce RTX 3060 DUAL 8GB OC,1 679 zł,https://www.komputronik.pl/product/799054/asus-geforce-rtx-3060-dual-8gb-oc.html
ASUS GeForce RTX 3060 Ti TUF Gaming 8GB OC Edition,2 449 zł,https://www.komputronik.pl/product/797158/asus-geforce-rtx-3060-ti-tuf-gaming-8gb-oc-edition.html
ASUS GeForce GTX 1650 TUF GAMING 4GB GDDR6 OC V2,929 zł,https://www.komputronik.pl/product/799962/asus-geforce-gtx-1650-tuf-gaming-4gb-gddr6-oc-v2.html
Gigabyte GeForce RTX 3070 Gaming 8GB OC 2.0 LHR,2 849 zł,https://www.komputronik.pl/product/732664/gigabyte-geforce-rtx-3070-gaming-8gb-oc-2-0-lhr.html
Gigabyte GeForce RTX 3060 Gaming 12GB OC 2.0 LHR,2 049 zł,https://www.komputronik.pl/product/726297/gigabyte-geforce-rtx-3060-gaming-12gb-oc-2-0-lhr.html
Sapphire Radeon RX 6800 Pulse Gaming OC 16GB GDDR6,2 999 zł,https://www.komputronik.pl/product/810999/sapphire-radeon-rx-6800-pulse-gaming-oc-16gb-gddr6.html
Intel ARC A750 8GB Limited Edition,1 329 zł,https://www.komputronik.pl/product/790272/intel-arc-a750-8gb.html
Gigabyte GeForce RTX 3070 Ti Gaming 8GB OC,3 549 zł,https://www.komputronik.pl/product/726008/gigabyte-geforce-rtx-3070-ti-gaming-8gb-oc.html
ASUS Radeon RX 6700 XT DUAL 12GB,2 249 zł,https://www.komputronik.pl/product/718541/asus-radeon-rx-6700-xt-dual-12gb.html
Gigabyte GeForce RTX 3060 Ti GAMING 8GB OC GDDR6X,2 549 zł,https://www.komputronik.pl/product/803868/gigabyte-geforce-rtx-3060-ti-gaming-8gb-oc-gddr6x.html
MSI GeForce RTX 3060 GAMING X 12GB LHR,2 149 zł,https://www.komputronik.pl/product/714907/msi-geforce-rtx-3060-gaming-x-12gb-lhr.html
Gigabyte GeForce RTX 3060 Ti EAGLE 8GB OC LHR,2 399 zł,https://www.komputronik.pl/product/727241/gigabyte-geforce-rtx-3060-ti-eagle-8gb-oc-lhr.html
ASUS GeForce RTX 4090 TUF Gaming OC 24GB DLSS 3,9 990 zł,https://www.komputronik.pl/product/788178/asus-geforce-rtx-4090-tuf-gaming-oc-24gb.html
ASUS GeForce RTX 3060 Ti DUAL 8GB OC WHITE GDDR6X,2 599 zł,https://www.komputronik.pl/product/799053/asus-geforce-rtx-3060-ti-dual-8gb-oc-white-gddr6x.html
